Item,Description,Quantity On Hand,Category
LED Fixtures:GI-RT-120 LED Retrofit,GI-RT-120 5000K LED Retrofit*,0,LED Fixtures
LED Fixtures:GI-RT-30 LED Retrofit,GI-RT-30 LED Retrofit,0,LED Fixtures
LED Fixtures:GI-RT-400 LED Retrofit,GI-RT-400 5000K LED Retrofit*,1,LED Fixtures
LED Fixtures:GI-RT-75-CRM,GI-RT-75-CRM* (75 watt LED Retrofit),-1,LED Fixtures
LED Fixtures:LED 100 Watt highbay,LED 100 Watt highbay (aluminum hood),2,LED Fixtures
LED Fixtures:LED 150 Watt Highbay,LED 150 Watt High Bay (Aluminum hood) DLC listed,7,LED Fixtures
LED Fixtures:LED FL-07 150Watt Flood light 1,LED FL-07  Flood light (150W/100-277V),12,LED Fixtures
LED Fixtures:LED WP-120W,LED WP-120W (120 watt wall pack),-1,LED Fixtures
LED Fixtures:LED WP-60W,LED WP-60W (60 Watt LED wall pack - 175-200 watt MH replacement),19,LED Fixtures
LED Fixtures:SS-FL150W,SS-FL150W (150 watt LED flood light),1,LED Fixtures
LED Fixtures:SS-FL75W,SS-FL75W(75 watt LED flood light),0,LED Fixtures
LED Fixtures:LED 200 Watt Highbay,LED 200 Watt High Bay (Aluminum hood) DLC listed,7,LED Fixtures
LED Fixtures:GI-RT-30 LED Retrofit,GI-RT-150 LED Retrofit,0,LED Fixtures
,,,
SIT-LEDT8-12W-5K,,,LED Retrofit Lamps
SIT-LEDT8-14W-5K,,,LED Retrofit Lamps
SIT-LEDT8-18W-41K,,,LED Retrofit Lamps
SIT-LEDT8-18W-27K-OC,,,LED Retrofit Lamps
SIT-LEDT8-18W-27K,,,LED Retrofit Lamps
SIT-LEDT8-18W-5K,,,LED Retrofit Lamps
,,,
"ONCE LED""S:MLB-FSWB-JB-180-012-120",MLB-FSWB-JB-180-012-120 (12W/Poultry/JB mount/Dim to blue),-338,Livestock/Ag LED
"ONCE LED""S:MLB-FSWB-JJ-180-012-120",MLB-FSWB-JJ-180-012-120 (12W Poultry/JJ mount/E26/Dim to blue),-1,Livestock/Ag LED
"ONCE LED""S:MLL-FSWR-JB-180-012-120",MLL-FSWR-JB-180-012-120 (12W Poultry/Junction box Dim to Red),-108,Livestock/Ag LED
"ONCE LED""S:MLL-FSWR-JJ-180-012-120",MLL-FSWR-JJ-180-012-120,-3,Livestock/Ag LED
"ONCE LED""S:MLS-FSWR-JB-180-014-120",MLS-FSWR-JB-180-014-120 (14W Swine/Junct Box Adapter/JB adapter),870,Livestock/Ag LED
"ONCE LED""S:MLS-FSWR-JJ-180-014-120",MLS-FSWR-JJ-180-014-120 (14W Swine/JJ adapter/JJ connector),275,Livestock/Ag LED
"ONCE LED""S:MLA-15-HW",15W 120V LED aquaculture applications,,Livestock/Ag LED
"ONCE LED""S:MLA-1",15W 120VAC LED aquaculture fixture,,Livestock/Ag LED
,,,
BLC,BLC (30W/115-125V/S11/Ba15d) DELISTED,-4,Medical/Microscope
BRL Osram,BRL Osram 64610 (50W/12V/T3/G6.35),58,Medical/Microscope
EJA Osram,EJA Osram  (150W/21V/MR16/Gx5.3),22,Medical/Microscope
EKE Osram,EKE Osram  (150W/21V/MR16/Gx5.3),14,Medical/Microscope
ESA Osram,ESA Osram 64225  (10W/6V/T3/G4),6,Medical/Microscope
EVA Osram 64623HLX,EVA Osram 64623HLX (100W/12V/T4/Gy6.35),3,Medical/Microscope
FCR Osram,FCR Osram  64625HLX  (100W/12V/T3.5/Gy6.35),4,Medical/Microscope
Medical:CXE300,CXE300- Olympus scope bulb..300W Xenon,0,Medical/Microscope
Miniatures:1460X,1460X Eiko (2.75A/6.5V/S8/DCPrefocus),4,Medical/Microscope
Non-Ansi:JC6V30W/G4,JC6V30W/G4,6,Medical/Microscope
Speciality Discharge:HBO100W/2,HBO100W2  20V,3,Medical/Microscope
Speciality Discharge:HBO103W/2 23V,HBO103W/2 23V..,0,Medical/Microscope
Speciality Discharge:USH50-AC1,SHL50-AC1 - (Mercury SA/39-45V/50W/1.3a/100Hr) = Osram HBO50WACL/1,0,Medical/Microscope
Speciality Discharge:USH50-AC2,SHL50-AC2 - (Mercury SA/34-39V/50W/1.46a/100Hr) = Osram HBO50WACL/2,5,Medical/Microscope
Speciality Discharge:XBO75W2/OFR,XBO75W/2 OFR  69232,9,Medical/Microscope
Speciality Discharge:HBO50W/3,HBO50W/3 - (Mercury SA/23V/50W/200Hr) = Osram HBO50W/3,0,Medical/Microscope
,,,
BTL Osram,BTL  Osram (Q500T6/5CL/120V),32,Stage/Studio
BTM Osram,BTM Osram (Q500T6/4CL/2P),0,Stage/Studio
BTN Osram,BTN  Osram (Q750T7/120V/CL/P28s/),22,Stage/Studio
